Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_030873655.1	Primary Assembly	1c	22081358	37.5	CM061576.1	Chromosome			assembled-molecule	59282136			chr1c
GCA_030873655.1	Primary Assembly	1e	19100582	36.5	CM061577.1	Chromosome			assembled-molecule	52005836			chr1e
GCA_030873655.1	Primary Assembly	2c	27308870	36.5	CM061578.1	Chromosome			assembled-molecule	74718367			chr2c
GCA_030873655.1	Primary Assembly	2e	26980634	36.5	CM061579.1	Chromosome			assembled-molecule	73705077			chr2e
GCA_030873655.1	Primary Assembly	3c	15008157	36.5	CM061580.1	Chromosome			assembled-molecule	41337678			chr3c
GCA_030873655.1	Primary Assembly	3e	16084004	36.5	CM061581.1	Chromosome			assembled-molecule	44118139			chr3e
GCA_030873655.1	Primary Assembly	4c	19184244	37	CM061582.1	Chromosome			assembled-molecule	51611264			chr4c
GCA_030873655.1	Primary Assembly	4e	17482564	37	CM061583.1	Chromosome			assembled-molecule	47362295			chr4e
GCA_030873655.1	Primary Assembly	5e	17834167	37	CM061584.1	Chromosome			assembled-molecule	48524476			chr5e
GCA_030873655.1	Primary Assembly	5c	17573279	37	CM061585.1	Chromosome			assembled-molecule	47630375			chr5c
GCA_030873655.1	Primary Assembly	6c	23311649	37	CM061586.1	Chromosome			assembled-molecule	62962097			chr6c
GCA_030873655.1	Primary Assembly	6e	21772851	37	CM061587.1	Chromosome			assembled-molecule	59109944			chr6e
GCA_030873655.1	Primary Assembly	7c	14655796	36.5	CM061588.1	Chromosome			assembled-molecule	39944450			chr7c
GCA_030873655.1	Primary Assembly	7e	14563390	36.5	CM061589.1	Chromosome			assembled-molecule	39730949			chr7e
GCA_030873655.1	Primary Assembly	8e	18218515	36.5	CM061590.1	Chromosome			assembled-molecule	49651447			chr8e
GCA_030873655.1	Primary Assembly	8c	16169064	36.5	CM061591.1	Chromosome			assembled-molecule	44319397			chr8c
GCA_030873655.1	Primary Assembly	9c	16376807	37.5	CM061592.1	Chromosome			assembled-molecule	43933066			chr9c
GCA_030873655.1	Primary Assembly	9e	14535152	37	CM061593.1	Chromosome			assembled-molecule	39158766			chr9e
GCA_030873655.1	Primary Assembly	10e	15805709	36.5	CM061594.1	Chromosome			assembled-molecule	43085031			chr10e
GCA_030873655.1	Primary Assembly	10c	19170668	37	CM061595.1	Chromosome			assembled-molecule	51900066			chr10c
GCA_030873655.1	Primary Assembly	11c	14659267	36.5	CM061596.1	Chromosome			assembled-molecule	39995608			chr11c
GCA_030873655.1	Primary Assembly	11e	16481311	37	CM061597.1	Chromosome			assembled-molecule	44702780			chr11e
GCA_030873655.1	Primary Assembly	Un			JARPVW010000024.1	Chromosome			unplaced-scaffold	1501407			scaffold_57
GCA_030873655.1	Primary Assembly	Un			JARPVW010000025.1	Chromosome			unplaced-scaffold	1269929			scaffold_61
GCA_030873655.1	Primary Assembly	Un			JARPVW010000026.1	Chromosome			unplaced-scaffold	1238059			scaffold_62
GCA_030873655.1	Primary Assembly	Un			JARPVW010000027.1	Chromosome			unplaced-scaffold	1039561			scaffold_68
GCA_030873655.1	Primary Assembly	Un			JARPVW010000028.1	Chromosome			unplaced-scaffold	886402			scaffold_72
GCA_030873655.1	Primary Assembly	Un			JARPVW010000029.1	Chromosome			unplaced-scaffold	747192			scaffold_74
GCA_030873655.1	Primary Assembly	Un			JARPVW010000030.1	Chromosome			unplaced-scaffold	689110			scaffold_76
GCA_030873655.1	Primary Assembly	Un			JARPVW010000031.1	Chromosome			unplaced-scaffold	671890			scaffold_78
GCA_030873655.1	Primary Assembly	Un			JARPVW010000032.1	Chromosome			unplaced-scaffold	648000			scaffold_79
GCA_030873655.1	Primary Assembly	Un			JARPVW010000033.1	Chromosome			unplaced-scaffold	646222			scaffold_80
GCA_030873655.1	Primary Assembly	Un			JARPVW010000034.1	Chromosome			unplaced-scaffold	635080			scaffold_81
GCA_030873655.1	Primary Assembly	Un			JARPVW010000035.1	Chromosome			unplaced-scaffold	612834			scaffold_82
GCA_030873655.1	Primary Assembly	Un			JARPVW010000036.1	Chromosome			unplaced-scaffold	603570			scaffold_83
GCA_030873655.1	Primary Assembly	Un			JARPVW010000037.1	Chromosome			unplaced-scaffold	592782			scaffold_84
GCA_030873655.1	Primary Assembly	Un			JARPVW010000038.1	Chromosome			unplaced-scaffold	415236			scaffold_85
GCA_030873655.1	Primary Assembly	Un			JARPVW010000039.1	Chromosome			unplaced-scaffold	582800			scaffold_86
GCA_030873655.1	Primary Assembly	Un			JARPVW010000040.1	Chromosome			unplaced-scaffold	536156			scaffold_87
GCA_030873655.1	Primary Assembly	Un			JARPVW010000041.1	Chromosome			unplaced-scaffold	512825			scaffold_88
GCA_030873655.1	Primary Assembly	Un			JARPVW010000042.1	Chromosome			unplaced-scaffold	495202			scaffold_89
GCA_030873655.1	Primary Assembly	Un			JARPVW010000043.1	Chromosome			unplaced-scaffold	492568			scaffold_90
GCA_030873655.1	Primary Assembly	Un			JARPVW010000044.1	Chromosome			unplaced-scaffold	492852			scaffold_91
GCA_030873655.1	Primary Assembly	Un			JARPVW010000045.1	Chromosome			unplaced-scaffold	475962			scaffold_92
GCA_030873655.1	Primary Assembly	Un			JARPVW010000046.1	Chromosome			unplaced-scaffold	467089			scaffold_93
GCA_030873655.1	Primary Assembly	Un			JARPVW010000047.1	Chromosome			unplaced-scaffold	469340			scaffold_94
GCA_030873655.1	Primary Assembly	Un			JARPVW010000048.1	Chromosome			unplaced-scaffold	453911			scaffold_95
GCA_030873655.1	Primary Assembly	Un			JARPVW010000049.1	Chromosome			unplaced-scaffold	451286			scaffold_96
GCA_030873655.1	Primary Assembly	Un			JARPVW010000050.1	Chromosome			unplaced-scaffold	442083			scaffold_97
GCA_030873655.1	Primary Assembly	Un			JARPVW010000051.1	Chromosome			unplaced-scaffold	429429			scaffold_98
GCA_030873655.1	Primary Assembly	Un			JARPVW010000052.1	Chromosome			unplaced-scaffold	426771			scaffold_99
GCA_030873655.1	Primary Assembly	Un			JARPVW010000053.1	Chromosome			unplaced-scaffold	415877			scaffold_100
GCA_030873655.1	Primary Assembly	Un			JARPVW010000054.1	Chromosome			unplaced-scaffold	411837			scaffold_101
GCA_030873655.1	Primary Assembly	Un			JARPVW010000055.1	Chromosome			unplaced-scaffold	408560			scaffold_102
