Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_036785775.1	Primary Assembly	1c	12891450	36.5	CM072026.1	Chromosome			assembled-molecule	35656778			chr_A_sg_C
GCA_036785775.1	Primary Assembly	1e	15466436	36.5	CM072027.1	Chromosome			assembled-molecule	42624177			chr_A_sg_E
GCA_036785775.1	Primary Assembly	2c	20960828	36	CM072028.1	Chromosome			assembled-molecule	58348913			chr_B_sg_C
GCA_036785775.1	Primary Assembly	2e	23445500	36.5	CM072029.1	Chromosome			assembled-molecule	64766027			chr_B_sg_E
GCA_036785775.1	Primary Assembly	3c	11046280	36	CM072030.1	Chromosome			assembled-molecule	30953699			chr_C_sg_C
GCA_036785775.1	Primary Assembly	3e	13359114	36	CM072031.1	Chromosome			assembled-molecule	37089132			chr_C_sg_E
GCA_036785775.1	Primary Assembly	4c	10936986	36	CM072032.1	Chromosome			assembled-molecule	30344814			chr_D_sg_C
GCA_036785775.1	Primary Assembly	4e	12233270	36.5	CM072033.1	Chromosome			assembled-molecule	33864448			chr_D_sg_E
GCA_036785775.1	Primary Assembly	5e	13819709	36.5	CM072034.1	Chromosome			assembled-molecule	38186679			chr_E_sg_E
GCA_036785775.1	Primary Assembly	5c	12074817	36	CM072035.1	Chromosome			assembled-molecule	33508924			chr_E_sg_C
GCA_036785775.1	Primary Assembly	6c	14731761	36	CM072036.1	Chromosome			assembled-molecule	40868841			chr_F_sg_C
GCA_036785775.1	Primary Assembly	6e	17024589	36.5	CM072037.1	Chromosome			assembled-molecule	46870929			chr_F_sg_E
GCA_036785775.1	Primary Assembly	7c	11848954	36.5	CM072038.1	Chromosome			assembled-molecule	32736152			chr_G_sg_C
GCA_036785775.1	Primary Assembly	7e	12300861	36.5	CM072039.1	Chromosome			assembled-molecule	34033063			chr_G_sg_E
GCA_036785775.1	Primary Assembly	8e	13186096	36	CM072040.1	Chromosome			assembled-molecule	36623149			chr_H_sg_E
GCA_036785775.1	Primary Assembly	8c	11201567	36	CM072041.1	Chromosome			assembled-molecule	31356078			chr_H_sg_C
GCA_036785775.1	Primary Assembly	9c	6679476	36	CM072042.1	Chromosome			assembled-molecule	18766126			chr_I_sg_C
GCA_036785775.1	Primary Assembly	9e	11484587	37	CM072043.1	Chromosome			assembled-molecule	31382020			chr_I_sg_E
GCA_036785775.1	Primary Assembly	10e	11228788	36	CM072044.1	Chromosome			assembled-molecule	31211718			chr_J_sg_E
GCA_036785775.1	Primary Assembly	10c	9986066	36	CM072045.1	Chromosome			assembled-molecule	28007748			chr_J_sg_C
GCA_036785775.1	Primary Assembly	11c	10617441	36	CM072046.1	Chromosome			assembled-molecule	29606218			chr_K_sg_C
