Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_900059795.1	Primary Assembly	I	11105214	36	HG974428.1	Chromosome			assembled-molecule	38193400			chr1
GCA_900059795.1	Primary Assembly	II	8327594	36	HG974437.1	Chromosome			assembled-molecule	27624748			chr10
GCA_900059795.1	Primary Assembly	III	10151627	36	HG974438.1	Chromosome			assembled-molecule	33540656			chr11
GCA_900059795.1	Primary Assembly	IV	16955012	36	HG974429.1	Chromosome			assembled-molecule	54522928			chr2
GCA_900059795.1	Primary Assembly	V	9132803	35.5	HG974430.1	Chromosome			assembled-molecule	32030951			chr3
GCA_900059795.1	Primary Assembly	VI	8383778	36	HG974431.1	Chromosome			assembled-molecule	28191985			chr4
GCA_900059795.1	Primary Assembly	VII	8630003	36	HG974432.1	Chromosome			assembled-molecule	29137935			chr5
GCA_900059795.1	Primary Assembly	VIII	11477047	36	HG974433.1	Chromosome			assembled-molecule	37293965			chr6
GCA_900059795.1	Primary Assembly	IX	9209588	36.5	HG974434.1	Chromosome			assembled-molecule	29833120			chr7
GCA_900059795.1	Primary Assembly	X	9235080	36	HG974435.1	Chromosome			assembled-molecule	31585744			chr8
GCA_900059795.1	Primary Assembly	XI	6546676	36	HG974436.1	Chromosome			assembled-molecule	22352177			chr9
GCA_900059795.1	Primary Assembly	Un			HG739151.1	Chromosome			unplaced-scaffold	1901649			scaffold_67
GCA_900059795.1	Primary Assembly	Un			HG739172.1	Chromosome			unplaced-scaffold	1524692			scaffold_88
GCA_900059795.1	Primary Assembly	Un			HG739190.1	Chromosome			unplaced-scaffold	1275750			scaffold_106
GCA_900059795.1	Primary Assembly	Un			HG739193.1	Chromosome			unplaced-scaffold	1256070			scaffold_109
GCA_900059795.1	Primary Assembly	Un			HG739217.1	Chromosome			unplaced-scaffold	1056105			scaffold_133
GCA_900059795.1	Primary Assembly	Un			HG739227.1	Chromosome			unplaced-scaffold	949346			scaffold_143
GCA_900059795.1	Primary Assembly	Un			HG739234.1	Chromosome			unplaced-scaffold	889175			scaffold_150
GCA_900059795.1	Primary Assembly	Un			HG739235.1	Chromosome			unplaced-scaffold	882057			scaffold_151
GCA_900059795.1	Primary Assembly	Un			HG739240.1	Chromosome			unplaced-scaffold	828091			scaffold_156
GCA_900059795.1	Primary Assembly	Un			HG739243.1	Chromosome			unplaced-scaffold	817605			scaffold_159
GCA_900059795.1	Primary Assembly	Un			HG739245.1	Chromosome			unplaced-scaffold	806263			scaffold_161
GCA_900059795.1	Primary Assembly	Un			HG739246.1	Chromosome			unplaced-scaffold	805222			scaffold_162
GCA_900059795.1	Primary Assembly	Un			HG739247.1	Chromosome			unplaced-scaffold	795966			scaffold_163
GCA_900059795.1	Primary Assembly	Un			HG739248.1	Chromosome			unplaced-scaffold	793242			scaffold_164
GCA_900059795.1	Primary Assembly	Un			HG739249.1	Chromosome			unplaced-scaffold	786182			scaffold_165
GCA_900059795.1	Primary Assembly	Un			HG739255.1	Chromosome			unplaced-scaffold	727181			scaffold_171
GCA_900059795.1	Primary Assembly	Un			HG739258.1	Chromosome			unplaced-scaffold	696703			scaffold_174
GCA_900059795.1	Primary Assembly	Un			HG739259.1	Chromosome			unplaced-scaffold	691731			scaffold_175
GCA_900059795.1	Primary Assembly	Un			HG739260.1	Chromosome			unplaced-scaffold	691655			scaffold_176
GCA_900059795.1	Primary Assembly	Un			HG739261.1	Chromosome			unplaced-scaffold	685166			scaffold_177
GCA_900059795.1	Primary Assembly	Un			HG739266.1	Chromosome			unplaced-scaffold	664485			scaffold_182
GCA_900059795.1	Primary Assembly	Un			HG739268.1	Chromosome			unplaced-scaffold	651842			scaffold_184
