Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_036785885.1	Primary Assembly	1c	22269546	37.5	CM071891.1	Chromosome		NC_092310.1	assembled-molecule	59034463			Cara001_chrA_sgCC
GCA_036785885.1	Primary Assembly	1e	21367683	37	CM071892.1	Chromosome		NC_092311.1	assembled-molecule	57716770			Cara002_chrA_sgEE
GCA_036785885.1	Primary Assembly	2c	28238824	36.5	CM071893.1	Chromosome		NC_092312.1	assembled-molecule	76906396			Cara003_chrB_sgCC
GCA_036785885.1	Primary Assembly	2e	28442606	37	CM071894.1	Chromosome		NC_092313.1	assembled-molecule	77301657			Cara004_chrB_sgEE
GCA_036785885.1	Primary Assembly	3c	16433283	37	CM071895.1	Chromosome		NC_092314.1	assembled-molecule	44587295			Cara005_chrC_sgCC
GCA_036785885.1	Primary Assembly	3e	18211352	37	CM071896.1	Chromosome		NC_092315.1	assembled-molecule	49228674			Cara006_chrC_sgEE
GCA_036785885.1	Primary Assembly	4c	19515843	37.5	CM071897.1	Chromosome		NC_092316.1	assembled-molecule	52323663			Cara007_chrD_sgCC
GCA_036785885.1	Primary Assembly	4e	18082098	37	CM071898.1	Chromosome		NC_092317.1	assembled-molecule	48754064			Cara008_chrD_sgEE
GCA_036785885.1	Primary Assembly	5e	20591849	37.5	CM071899.1	Chromosome		NC_092318.1	assembled-molecule	55030746			Cara010_chrE_sgEE
GCA_036785885.1	Primary Assembly	5c	18253945	37	CM071900.1	Chromosome		NC_092319.1	assembled-molecule	49172495			Cara009_chrE_sgCC
GCA_036785885.1	Primary Assembly	6c	23806114	37.5	CM071901.1	Chromosome		NC_092320.1	assembled-molecule	63716479			Cara011_chrF_sgCC
GCA_036785885.1	Primary Assembly	6e	23475558	37	CM071902.1	Chromosome		NC_092321.1	assembled-molecule	63214365			Cara012_chrF_sgEE
GCA_036785885.1	Primary Assembly	7c	14931496	37	CM071903.1	Chromosome		NC_092322.1	assembled-molecule	40515400			Cara013_chrG_sgCC
GCA_036785885.1	Primary Assembly	7e	19521821	38.5	CM071904.1	Chromosome		NC_092323.1	assembled-molecule	50646195			Cara014_chrG_sgEE
GCA_036785885.1	Primary Assembly	8e	19834935	37	CM071905.1	Chromosome		NC_092324.1	assembled-molecule	53737150			Cara016_chrH_sgEE
GCA_036785885.1	Primary Assembly	8c	17152843	37	CM071906.1	Chromosome		NC_092325.1	assembled-molecule	46623164			Cara015_chrH_sgCC
GCA_036785885.1	Primary Assembly	9c	16549236	37.5	CM071907.1	Chromosome		NC_092326.1	assembled-molecule	44254144			Cara017_chrI_sgCC
GCA_036785885.1	Primary Assembly	9e	15475659	37.5	CM071908.1	Chromosome		NC_092327.1	assembled-molecule	41449412			Cara018_chrI_sgEE
GCA_036785885.1	Primary Assembly	10e	18263249	37.5	CM071909.1	Chromosome		NC_092328.1	assembled-molecule	48872521			Cara020_chrJ_sgEE
GCA_036785885.1	Primary Assembly	10c	20118318	37	CM071910.1	Chromosome		NC_092329.1	assembled-molecule	54177763			Cara019_chrJ_sgCC
GCA_036785885.1	Primary Assembly	11c	17316899	38	CM071911.1	Chromosome		NC_092330.1	assembled-molecule	45802622			Cara021_chrK_sgCC
GCA_036785885.1	Primary Assembly	11e	25406152	40.5	CM071912.1	Chromosome		NC_092331.1	assembled-molecule	62661540			Cara022_chrK_sgEE_A
GCA_036785885.1	Primary Assembly	Un			JAZHGF010000023.1	Chromosome		NW_027266152.1	unplaced-scaffold	27834			ptg000002l
GCA_036785885.1	Primary Assembly	Un			JAZHGF010000024.1	Chromosome		NW_027266153.1	unplaced-scaffold	85510			ptg000003l
GCA_036785885.1	Primary Assembly	Un			JAZHGF010000025.1	Chromosome		NW_027266154.1	unplaced-scaffold	11286			ptg000005l
GCA_036785885.1	Primary Assembly	Un			JAZHGF010000026.1	Chromosome		NW_027266155.1	unplaced-scaffold	165930			ptg000006l
GCA_036785885.1	Primary Assembly	Un			JAZHGF010000027.1	Chromosome		NW_027266156.1	unplaced-scaffold	72139			ptg000007l
GCA_036785885.1	Primary Assembly	Un			JAZHGF010000028.1	Chromosome		NW_027266157.1	unplaced-scaffold	88571			ptg000008l
GCA_036785885.1	Primary Assembly	Un			JAZHGF010000029.1	Chromosome		NW_027266158.1	unplaced-scaffold	85180			ptg000009l
GCA_036785885.1	Primary Assembly	Un			JAZHGF010000030.1	Chromosome		NW_027266159.1	unplaced-scaffold	83483			ptg000010l
GCA_036785885.1	Primary Assembly	Un			JAZHGF010000031.1	Chromosome		NW_027266160.1	unplaced-scaffold	106409			ptg000011l
GCA_036785885.1	Primary Assembly	Un			JAZHGF010000032.1	Chromosome		NW_027266161.1	unplaced-scaffold	59250			ptg000012l
GCA_036785885.1	Primary Assembly	Un			JAZHGF010000033.1	Chromosome		NW_027266162.1	unplaced-scaffold	160555			ptg000014l
GCA_036785885.1	Primary Assembly	Un			JAZHGF010000034.1	Chromosome		NW_027266163.1	unplaced-scaffold	83150			ptg000015l
