Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_003713225.1	Primary Assembly	1c	18564604	37	CM011106.1	Chromosome		NC_039898.1	assembled-molecule	50636588			chr1_can
GCF_003713225.1	Primary Assembly	1e	17926240	37	CM011107.1	Chromosome		NC_039899.1	assembled-molecule	48756970			chr1_eug
GCF_003713225.1	Primary Assembly	2c	24060959	36.5	CM011108.1	Chromosome		NC_039900.1	assembled-molecule	66155350			chr2_can
GCF_003713225.1	Primary Assembly	2e	26261451	36.5	CM011109.1	Chromosome		NC_039901.1	assembled-molecule	71633312			chr2_eug
GCF_003713225.1	Primary Assembly	3c	15089182	36.5	CM011110.1	Chromosome		NC_039902.1	assembled-molecule	41566753			chr3_can
GCF_003713225.1	Primary Assembly	3e	13559981	36.5	CM011111.1	Chromosome		NC_039903.1	assembled-molecule	37271464			chr3_eug
GCF_003713225.1	Primary Assembly	4c	15348484	37	CM011112.1	Chromosome		NC_039904.1	assembled-molecule	41786336			chr4_can
GCF_003713225.1	Primary Assembly	4e	15628774	37	CM011113.1	Chromosome		NC_039905.1	assembled-molecule	42507429			chr4_eug
GCF_003713225.1	Primary Assembly	5e	14534091	37	CM011115.1	Chromosome		NC_039906.1	assembled-molecule	39439615			chr5_eug
GCF_003713225.1	Primary Assembly	5c	16877059	37	CM011114.1	Chromosome		NC_039907.1	assembled-molecule	45899693			chr5_can
GCF_003713225.1	Primary Assembly	6c	20202691	36.5	CM011116.1	Chromosome		NC_039908.1	assembled-molecule	55181588			chr6_can
GCF_003713225.1	Primary Assembly	6e	19204493	37	CM011117.1	Chromosome		NC_039909.1	assembled-molecule	52240725			chr6_eug
GCF_003713225.1	Primary Assembly	7c	14206414	36.5	CM011118.1	Chromosome		NC_039910.1	assembled-molecule	38854053			chr7_can
GCF_003713225.1	Primary Assembly	7e	12873074	36.5	CM011119.1	Chromosome		NC_039911.1	assembled-molecule	35392230			chr7_eug
GCF_003713225.1	Primary Assembly	8e	16508271	36.5	CM011121.1	Chromosome		NC_039912.1	assembled-molecule	45117557			chr8_eug
GCF_003713225.1	Primary Assembly	8c	14125460	36.5	CM011120.1	Chromosome		NC_039913.1	assembled-molecule	39008463			chr8_can
GCF_003713225.1	Primary Assembly	9c	14036420	37	CM011122.1	Chromosome		NC_039914.1	assembled-molecule	38064651			chr9_can
GCF_003713225.1	Primary Assembly	9e	13276270	37	CM011123.1	Chromosome		NC_039915.1	assembled-molecule	35839895			chr9_eug
GCF_003713225.1	Primary Assembly	10e	14824233	36.5	CM011103.1	Chromosome		NC_039916.1	assembled-molecule	40458934			chr10_eug
GCF_003713225.1	Primary Assembly	10c	16681006	37	CM011102.1	Chromosome		NC_039917.1	assembled-molecule	45429025			chr10_can
GCF_003713225.1	Primary Assembly	11c	13191487	36.5	CM011104.1	Chromosome		NC_039918.1	assembled-molecule	36215491			chr11_can
GCF_003713225.1	Primary Assembly	11e	15610865	37	CM011105.1	Chromosome		NC_039919.1	assembled-molecule	42465768			chr11_eug
GCF_003713225.1	Primary Assembly	Un			RHJU01000023.1	Chromosome		NW_020850462.1	unplaced-scaffold	8075			SczI0sq_2864;HRSCAF=4338.2
GCF_003713225.1	Primary Assembly	Un			RHJU01000024.1	Chromosome		NW_020850478.1	unplaced-scaffold	2115790			SczI0sq_28;HRSCAF=124.2
GCF_003713225.1	Primary Assembly	Un			RHJU01000025.1	Chromosome		NW_020850474.1	unplaced-scaffold	4153509			SczI0sq_2878;HRSCAF=4412.1
GCF_003713225.1	Primary Assembly	Un			RHJU01000026.1	Chromosome		NW_020850465.1	unplaced-scaffold	462830			SczI0sq_2867;HRSCAF=4344.2
GCF_003713225.1	Primary Assembly	Un			RHJU01000027.1	Chromosome		NW_020850459.1	unplaced-scaffold	75441			SczI0sq_2857;HRSCAF=4322.1
