Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_036785865.1	Primary Assembly	I	24717047	37.5	CM071913.1	Chromosome			assembled-molecule	66355530			CC1.8.Chr01
GCA_036785865.1	Primary Assembly	II	29077347	36.5	CM071914.1	Chromosome			assembled-molecule	79361681			CC1.8.Chr02
GCA_036785865.1	Primary Assembly	III	15236404	36	CM071915.1	Chromosome			assembled-molecule	42304562			CC1.8.Chr03
GCA_036785865.1	Primary Assembly	IV	18967213	37	CM071916.1	Chromosome			assembled-molecule	51033085			CC1.8.Chr04
GCA_036785865.1	Primary Assembly	V	18805457	37	CM071917.1	Chromosome			assembled-molecule	50946795			CC1.8.Chr05
GCA_036785865.1	Primary Assembly	VI	25202310	37	CM071918.1	Chromosome			assembled-molecule	67836911			CC1.8.Chr06
GCA_036785865.1	Primary Assembly	VII	15708210	37	CM071919.1	Chromosome			assembled-molecule	42698186			CC1.8.Chr07
GCA_036785865.1	Primary Assembly	VIII	18346854	36.5	CM071920.1	Chromosome			assembled-molecule	50124509			CC1.8.Chr08
GCA_036785865.1	Primary Assembly	IX	15647669	37.5	CM071921.1	Chromosome			assembled-molecule	41966822			CC1.8.Chr09
GCA_036785865.1	Primary Assembly	X	18499761	37	CM071922.1	Chromosome			assembled-molecule	50112997			CC1.8.Chr10
GCA_036785865.1	Primary Assembly	XI	15685005	36.5	CM071923.1	Chromosome			assembled-molecule	42863559			CC1.8.Chr11
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000012.1	Chromosome			unplaced-scaffold	1346246			Contig561
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000013.1	Chromosome			unplaced-scaffold	624597			Contig784
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000014.1	Chromosome			unplaced-scaffold	612446			Contig339
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000015.1	Chromosome			unplaced-scaffold	520977			Contig1783
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000016.1	Chromosome			unplaced-scaffold	287042			Contig2424
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000017.1	Chromosome			unplaced-scaffold	266157			Contig2391
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000018.1	Chromosome			unplaced-scaffold	257260			Contig1611
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000019.1	Chromosome			unplaced-scaffold	240352			Contig376
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000020.1	Chromosome			unplaced-scaffold	214400			Contig2255
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000021.1	Chromosome			unplaced-scaffold	209026			Contig1544
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000022.1	Chromosome			unplaced-scaffold	207895			Contig2569
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000023.1	Chromosome			unplaced-scaffold	206816			Contig1790
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000024.1	Chromosome			unplaced-scaffold	202732			Contig1339
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000025.1	Chromosome			unplaced-scaffold	200203			Contig2156
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000026.1	Chromosome			unplaced-scaffold	189701			Contig2761
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000027.1	Chromosome			unplaced-scaffold	187225			Contig2135
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000028.1	Chromosome			unplaced-scaffold	186597			Contig1393
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000029.1	Chromosome			unplaced-scaffold	176663			Contig719
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000030.1	Chromosome			unplaced-scaffold	172812			Contig2929
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000031.1	Chromosome			unplaced-scaffold	169674			Contig384
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000032.1	Chromosome			unplaced-scaffold	166652			Contig1965
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000033.1	Chromosome			unplaced-scaffold	162767			Contig2282
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000034.1	Chromosome			unplaced-scaffold	157340			Contig159
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000035.1	Chromosome			unplaced-scaffold	156163			Contig2269
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000036.1	Chromosome			unplaced-scaffold	154481			Contig2682
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000037.1	Chromosome			unplaced-scaffold	149965			Contig1447
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000038.1	Chromosome			unplaced-scaffold	149351			Contig2240
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000039.1	Chromosome			unplaced-scaffold	144118			Contig2737
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000040.1	Chromosome			unplaced-scaffold	143593			Contig474
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000041.1	Chromosome			unplaced-scaffold	142928			Contig1899
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000042.1	Chromosome			unplaced-scaffold	142384			Contig613
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000043.1	Chromosome			unplaced-scaffold	140705			Contig2345
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000044.1	Chromosome			unplaced-scaffold	136031			Contig1418
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000045.1	Chromosome			unplaced-scaffold	134078			Contig538
GCA_036785865.1	Primary Assembly	Un			JAZHGG010000046.1	Chromosome			unplaced-scaffold	132459			Contig2123
