Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_023065735.1	Primary Assembly	1	12638047	36	CM041208.1	Chromosome			assembled-molecule	35192332			Chr01
GCA_023065735.1	Primary Assembly	2	20680801	36	CM041209.1	Chromosome			assembled-molecule	57522413			Chr02
GCA_023065735.1	Primary Assembly	3	9786674	35	CM041210.1	Chromosome			assembled-molecule	28019604			Chr03
GCA_023065735.1	Primary Assembly	4	10466365	35.5	CM041211.1	Chromosome			assembled-molecule	29388200			Chr04
GCA_023065735.1	Primary Assembly	5	10649963	35.5	CM041212.1	Chromosome			assembled-molecule	29861901			Chr05
GCA_023065735.1	Primary Assembly	6	17473960	36	CM041213.1	Chromosome			assembled-molecule	48244489			Chr06
GCA_023065735.1	Primary Assembly	7	10621369	36	CM041214.1	Chromosome			assembled-molecule	29629744			Chr07
GCA_023065735.1	Primary Assembly	8	10295319	35.5	CM041215.1	Chromosome			assembled-molecule	29063762			Chr08
GCA_023065735.1	Primary Assembly	9	9529698	36	CM041216.1	Chromosome			assembled-molecule	26432012			Chr09
GCA_023065735.1	Primary Assembly	10	11438371	36	CM041217.1	Chromosome			assembled-molecule	31790949			Chr10
GCA_023065735.1	Primary Assembly	11	10365939	35.5	CM041218.1	Chromosome			assembled-molecule	29159155			Chr11
GCA_023065735.1	Primary Assembly	Un			JACYVW010000012.1	Chromosome			unplaced-scaffold	1560009			sq0100
GCA_023065735.1	Primary Assembly	Un			JACYVW010000013.1	Chromosome			unplaced-scaffold	1007624			sq0101
GCA_023065735.1	Primary Assembly	Un			JACYVW010000014.1	Chromosome			unplaced-scaffold	847688			sq0102
GCA_023065735.1	Primary Assembly	Un			JACYVW010000015.1	Chromosome			unplaced-scaffold	803964			sq0103
GCA_023065735.1	Primary Assembly	Un			JACYVW010000016.1	Chromosome			unplaced-scaffold	788073			sq0104
GCA_023065735.1	Primary Assembly	Un			JACYVW010000017.1	Chromosome			unplaced-scaffold	782761			sq0105
GCA_023065735.1	Primary Assembly	Un			JACYVW010000018.1	Chromosome			unplaced-scaffold	733547			sq0106
