Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_003713205.1	Primary Assembly	1	19518939	36.5	CM011091.1	Chromosome		NC_040035.1	assembled-molecule	53691034			chr1
GCA_003713205.1	Primary Assembly	2	28482643	36.5	CM011092.1	Chromosome		NC_040036.1	assembled-molecule	79790123			chr2
GCA_003713205.1	Primary Assembly	3	16986673	36	CM011093.1	Chromosome		NC_040037.1	assembled-molecule	48389548			chr3
GCA_003713205.1	Primary Assembly	4	15764807	36.5	CM011094.1	Chromosome		NC_040038.1	assembled-molecule	43756297			chr4
GCA_003713205.1	Primary Assembly	5	18755381	36.5	CM011095.1	Chromosome		NC_040039.1	assembled-molecule	52590270			chr5
GCA_003713205.1	Primary Assembly	6	19994666	36.5	CM011096.1	Chromosome		NC_040040.1	assembled-molecule	56253515			chr6
GCA_003713205.1	Primary Assembly	7	14537568	36.5	CM011097.1	Chromosome		NC_040041.1	assembled-molecule	40525418			chr7
GCA_003713205.1	Primary Assembly	8	16805256	36.5	CM011098.1	Chromosome		NC_040042.1	assembled-molecule	47530510			chr8
GCA_003713205.1	Primary Assembly	9	15440303	37	CM011099.1	Chromosome		NC_040043.1	assembled-molecule	42903947			chr9
GCA_003713205.1	Primary Assembly	10	14099748	36.5	CM011100.1	Chromosome		NC_040044.1	assembled-molecule	39566964			chr10
GCA_003713205.1	Primary Assembly	11	18907116	36.5	CM011101.1	Chromosome		NC_040045.1	assembled-molecule	53112746			chr11
GCA_003713205.1	Primary Assembly	Un			RHJT01000012.1	Chromosome		NW_020862447.1	unplaced-scaffold	86272			ScVebR1_1;HRSCAF=6
GCA_003713205.1	Primary Assembly	Un			RHJT01000013.1	Chromosome		NW_020863537.1	unplaced-scaffold	129622			ScVebR1_2;HRSCAF=14
GCA_003713205.1	Primary Assembly	Un			RHJT01000014.1	Chromosome		NW_020864236.1	unplaced-scaffold	84298			ScVebR1_3;HRSCAF=19
GCA_003713205.1	Primary Assembly	Un			RHJT01000015.1	Chromosome		NW_020864343.1	unplaced-scaffold	46705			ScVebR1_4;HRSCAF=23
GCA_003713205.1	Primary Assembly	Un			RHJT01000016.1	Chromosome		NW_020864453.1	unplaced-scaffold	197994			ScVebR1_5;HRSCAF=25
GCA_003713205.1	Primary Assembly	Un			RHJT01000017.1	Chromosome		NW_020864563.1	unplaced-scaffold	98271			ScVebR1_6;HRSCAF=26
GCA_003713205.1	Primary Assembly	Un			RHJT01000018.1	Chromosome		NW_020864671.1	unplaced-scaffold	203720			ScVebR1_7;HRSCAF=32
GCA_003713205.1	Primary Assembly	Un			RHJT01000019.1	Chromosome		NW_020864779.1	unplaced-scaffold	144482			ScVebR1_8;HRSCAF=35
GCA_003713205.1	Primary Assembly	Un			RHJT01000020.1	Chromosome		NW_020864886.1	unplaced-scaffold	93164			ScVebR1_9;HRSCAF=40
GCA_003713205.1	Primary Assembly	Un			RHJT01000021.1	Chromosome		NW_020861477.1	unplaced-scaffold	62785			ScVebR1_10;HRSCAF=42
GCA_003713205.1	Primary Assembly	Un			RHJT01000022.1	Chromosome		NW_020861585.1	unplaced-scaffold	85203			ScVebR1_11;HRSCAF=54
GCA_003713205.1	Primary Assembly	Un			RHJT01000023.1	Chromosome		NW_020861692.1	unplaced-scaffold	56965			ScVebR1_12;HRSCAF=67
GCA_003713205.1	Primary Assembly	Un			RHJT01000024.1	Chromosome		NW_020861799.1	unplaced-scaffold	107442			ScVebR1_13;HRSCAF=70
GCA_003713205.1	Primary Assembly	Un			RHJT01000025.1	Chromosome		NW_020861908.1	unplaced-scaffold	137038			ScVebR1_14;HRSCAF=71
GCA_003713205.1	Primary Assembly	Un			RHJT01000026.1	Chromosome		NW_020862014.1	unplaced-scaffold	402505			ScVebR1_15;HRSCAF=72
GCA_003713205.1	Primary Assembly	Un			RHJT01000027.1	Chromosome		NW_020862121.1	unplaced-scaffold	81229			ScVebR1_16;HRSCAF=75
GCA_003713205.1	Primary Assembly	Un			RHJT01000028.1	Chromosome		NW_020862228.1	unplaced-scaffold	150870			ScVebR1_17;HRSCAF=83
GCA_003713205.1	Primary Assembly	Un			RHJT01000029.1	Chromosome		NW_020862338.1	unplaced-scaffold	1201027			ScVebR1_18;HRSCAF=85
GCA_003713205.1	Primary Assembly	Un			RHJT01000030.1	Chromosome		NW_020862446.1	unplaced-scaffold	50079			ScVebR1_19;HRSCAF=91
GCA_003713205.1	Primary Assembly	Un			RHJT01000031.1	Chromosome		NW_020862556.1	unplaced-scaffold	247435			ScVebR1_20;HRSCAF=95
GCA_003713205.1	Primary Assembly	Un			RHJT01000032.1	Chromosome		NW_020862665.1	unplaced-scaffold	301060			ScVebR1_21;HRSCAF=98
GCA_003713205.1	Primary Assembly	Un			RHJT01000033.1	Chromosome		NW_020862775.1	unplaced-scaffold	143696			ScVebR1_22;HRSCAF=103
GCA_003713205.1	Primary Assembly	Un			RHJT01000034.1	Chromosome		NW_020862884.1	unplaced-scaffold	1272014			ScVebR1_23;HRSCAF=104
GCA_003713205.1	Primary Assembly	Un			RHJT01000035.1	Chromosome		NW_020862993.1	unplaced-scaffold	213399			ScVebR1_24;HRSCAF=106
GCA_003713205.1	Primary Assembly	Un			RHJT01000036.1	Chromosome		NW_020863101.1	unplaced-scaffold	63863			ScVebR1_25;HRSCAF=112
GCA_003713205.1	Primary Assembly	Un			RHJT01000037.1	Chromosome		NW_020863211.1	unplaced-scaffold	162256			ScVebR1_26;HRSCAF=113
GCA_003713205.1	Primary Assembly	Un			RHJT01000038.1	Chromosome		NW_020863319.1	unplaced-scaffold	149213			ScVebR1_27;HRSCAF=118
GCA_003713205.1	Primary Assembly	Un			RHJT01000039.1	Chromosome		NW_020863429.1	unplaced-scaffold	193143			ScVebR1_28;HRSCAF=126
GCA_003713205.1	Primary Assembly	Un			RHJT01000040.1	Chromosome		NW_020863536.1	unplaced-scaffold	122629			ScVebR1_29;HRSCAF=127
GCA_003713205.1	Primary Assembly	Un			RHJT01000041.1	Chromosome		NW_020863646.1	unplaced-scaffold	284532			ScVebR1_30;HRSCAF=142
GCA_003713205.1	Primary Assembly	Un			RHJT01000042.1	Chromosome		NW_020863755.1	unplaced-scaffold	88058			ScVebR1_31;HRSCAF=144
GCA_003713205.1	Primary Assembly	Un			RHJT01000043.1	Chromosome		NW_020863863.1	unplaced-scaffold	75677			ScVebR1_32;HRSCAF=161
GCA_003713205.1	Primary Assembly	Un			RHJT01000044.1	Chromosome		NW_020863974.1	unplaced-scaffold	152819			ScVebR1_33;HRSCAF=164
GCA_003713205.1	Primary Assembly	Un			RHJT01000045.1	Chromosome		NW_020864084.1	unplaced-scaffold	197886			ScVebR1_34;HRSCAF=178
GCA_003713205.1	Primary Assembly	Un			RHJT01000046.1	Chromosome		NW_020864192.1	unplaced-scaffold	178552			ScVebR1_35;HRSCAF=187
GCA_003713205.1	Primary Assembly	Un			RHJT01000047.1	Chromosome		NW_020864203.1	unplaced-scaffold	159315			ScVebR1_36;HRSCAF=193
GCA_003713205.1	Primary Assembly	Un			RHJT01000048.1	Chromosome		NW_020864224.1	unplaced-scaffold	131666			ScVebR1_38;HRSCAF=212
GCA_003713205.1	Primary Assembly	Un			RHJT01000049.1	Chromosome		NW_020864235.1	unplaced-scaffold	133497			ScVebR1_39;HRSCAF=213
GCA_003713205.1	Primary Assembly	Un			RHJT01000050.1	Chromosome		NW_020864247.1	unplaced-scaffold	221268			ScVebR1_40;HRSCAF=220
GCA_003713205.1	Primary Assembly	Un			RHJT01000051.1	Chromosome		NW_020864257.1	unplaced-scaffold	162996			ScVebR1_41;HRSCAF=222
GCA_003713205.1	Primary Assembly	Un			RHJT01000052.1	Chromosome		NW_020864267.1	unplaced-scaffold	142984			ScVebR1_42;HRSCAF=223
GCA_003713205.1	Primary Assembly	Un			RHJT01000053.1	Chromosome		NW_020864277.1	unplaced-scaffold	188017			ScVebR1_43;HRSCAF=237
GCA_003713205.1	Primary Assembly	Un			RHJT01000054.1	Chromosome		NW_020864288.1	unplaced-scaffold	351572			ScVebR1_44;HRSCAF=240
GCA_003713205.1	Primary Assembly	Un			RHJT01000055.1	Chromosome		NW_020864299.1	unplaced-scaffold	154075			ScVebR1_45;HRSCAF=242
GCA_003713205.1	Primary Assembly	Un			RHJT01000056.1	Chromosome		NW_020864309.1	unplaced-scaffold	71124			ScVebR1_46;HRSCAF=249
GCA_003713205.1	Primary Assembly	Un			RHJT01000057.1	Chromosome		NW_020864320.1	unplaced-scaffold	651575			ScVebR1_47;HRSCAF=261
GCA_003713205.1	Primary Assembly	Un			RHJT01000058.1	Chromosome		NW_020864331.1	unplaced-scaffold	256494			ScVebR1_48;HRSCAF=264
GCA_003713205.1	Primary Assembly	Un			RHJT01000059.1	Chromosome		NW_020864342.1	unplaced-scaffold	78644			ScVebR1_49;HRSCAF=266
GCA_003713205.1	Primary Assembly	Un			RHJT01000060.1	Chromosome		NW_020864354.1	unplaced-scaffold	68812			ScVebR1_50;HRSCAF=271
GCA_003713205.1	Primary Assembly	Un			RHJT01000061.1	Chromosome		NW_020864365.1	unplaced-scaffold	93335			ScVebR1_51;HRSCAF=277
GCA_003713205.1	Primary Assembly	Un			RHJT01000062.1	Chromosome		NW_020864376.1	unplaced-scaffold	54951			ScVebR1_52;HRSCAF=278
GCA_003713205.1	Primary Assembly	Un			RHJT01000063.1	Chromosome		NW_020864387.1	unplaced-scaffold	179873			ScVebR1_53;HRSCAF=282
GCA_003713205.1	Primary Assembly	Un			RHJT01000064.1	Chromosome		NW_020864398.1	unplaced-scaffold	40513			ScVebR1_54;HRSCAF=286
GCA_003713205.1	Primary Assembly	Un			RHJT01000065.1	Chromosome		NW_020864408.1	unplaced-scaffold	285452			ScVebR1_55;HRSCAF=288
GCA_003713205.1	Primary Assembly	Un			RHJT01000066.1	Chromosome		NW_020864419.1	unplaced-scaffold	199602			ScVebR1_56;HRSCAF=290
GCA_003713205.1	Primary Assembly	Un			RHJT01000067.1	Chromosome		NW_020864430.1	unplaced-scaffold	245955			ScVebR1_57;HRSCAF=291
GCA_003713205.1	Primary Assembly	Un			RHJT01000068.1	Chromosome		NW_020864441.1	unplaced-scaffold	101338			ScVebR1_58;HRSCAF=296
GCA_003713205.1	Primary Assembly	Un			RHJT01000069.1	Chromosome		NW_020864452.1	unplaced-scaffold	115487			ScVebR1_59;HRSCAF=299
GCA_003713205.1	Primary Assembly	Un			RHJT01000070.1	Chromosome		NW_020864464.1	unplaced-scaffold	159538			ScVebR1_60;HRSCAF=301
GCA_003713205.1	Primary Assembly	Un			RHJT01000071.1	Chromosome		NW_020864475.1	unplaced-scaffold	154720			ScVebR1_61;HRSCAF=304
GCA_003713205.1	Primary Assembly	Un			RHJT01000072.1	Chromosome		NW_020864486.1	unplaced-scaffold	97634			ScVebR1_62;HRSCAF=308
GCA_003713205.1	Primary Assembly	Un			RHJT01000073.1	Chromosome		NW_020864497.1	unplaced-scaffold	58940			ScVebR1_63;HRSCAF=309
GCA_003713205.1	Primary Assembly	Un			RHJT01000074.1	Chromosome		NW_020864508.1	unplaced-scaffold	138682			ScVebR1_64;HRSCAF=311
GCA_003713205.1	Primary Assembly	Un			RHJT01000075.1	Chromosome		NW_020864519.1	unplaced-scaffold	226190			ScVebR1_65;HRSCAF=315
GCA_003713205.1	Primary Assembly	Un			RHJT01000076.1	Chromosome		NW_020864529.1	unplaced-scaffold	412339			ScVebR1_66;HRSCAF=323
GCA_003713205.1	Primary Assembly	Un			RHJT01000077.1	Chromosome		NW_020864540.1	unplaced-scaffold	64691			ScVebR1_67;HRSCAF=338
GCA_003713205.1	Primary Assembly	Un			RHJT01000078.1	Chromosome		NW_020864551.1	unplaced-scaffold	190039			ScVebR1_68;HRSCAF=342
GCA_003713205.1	Primary Assembly	Un			RHJT01000079.1	Chromosome		NW_020864562.1	unplaced-scaffold	161854			ScVebR1_69;HRSCAF=345
GCA_003713205.1	Primary Assembly	Un			RHJT01000080.1	Chromosome		NW_020864573.1	unplaced-scaffold	183375			ScVebR1_70;HRSCAF=347
GCA_003713205.1	Primary Assembly	Un			RHJT01000081.1	Chromosome		NW_020864584.1	unplaced-scaffold	180489			ScVebR1_71;HRSCAF=358
GCA_003713205.1	Primary Assembly	Un			RHJT01000082.1	Chromosome		NW_020864595.1	unplaced-scaffold	72545			ScVebR1_72;HRSCAF=359
GCA_003713205.1	Primary Assembly	Un			RHJT01000083.1	Chromosome		NW_020864606.1	unplaced-scaffold	117293			ScVebR1_73;HRSCAF=375
GCA_003713205.1	Primary Assembly	Un			RHJT01000084.1	Chromosome		NW_020864617.1	unplaced-scaffold	148518			ScVebR1_74;HRSCAF=377
GCA_003713205.1	Primary Assembly	Un			RHJT01000085.1	Chromosome		NW_020864627.1	unplaced-scaffold	73613			ScVebR1_75;HRSCAF=381
GCA_003713205.1	Primary Assembly	Un			RHJT01000086.1	Chromosome		NW_020864638.1	unplaced-scaffold	124685			ScVebR1_76;HRSCAF=390
GCA_003713205.1	Primary Assembly	Un			RHJT01000087.1	Chromosome		NW_020864648.1	unplaced-scaffold	139078			ScVebR1_77;HRSCAF=397
GCA_003713205.1	Primary Assembly	Un			RHJT01000088.1	Chromosome		NW_020864659.1	unplaced-scaffold	235712			ScVebR1_78;HRSCAF=398
GCA_003713205.1	Primary Assembly	Un			RHJT01000089.1	Chromosome		NW_020864670.1	unplaced-scaffold	110658			ScVebR1_79;HRSCAF=401
GCA_003713205.1	Primary Assembly	Un			RHJT01000090.1	Chromosome		NW_020864682.1	unplaced-scaffold	284522			ScVebR1_80;HRSCAF=406
GCA_003713205.1	Primary Assembly	Un			RHJT01000091.1	Chromosome		NW_020864693.1	unplaced-scaffold	52383			ScVebR1_81;HRSCAF=410
GCA_003713205.1	Primary Assembly	Un			RHJT01000092.1	Chromosome		NW_020864703.1	unplaced-scaffold	171017			ScVebR1_82;HRSCAF=417
